,realtime_start,date,value,series_id,description,dtime
0,2007-02-02,2007-01-01,115137.0,USPRIV, BLS private,2007-01-01
2429,2013-06-03,2007-01-01,99.389538614601,BSCICP03USM665S, OECD Business Confidence,2007-01-01
165,2011-02-02,2007-01-01,114303.0,NPPTTL, ADP,2007-01-01
2264,2013-06-03,2007-01-01,101.046041578213,CSCICP03USM665S, OECD US Consumer Confidence,2007-01-01
1936,2010-08-11,2007-01-01,4929.0,JTS1000HIL,  Hires: Total Private ,2007-01-01
2924,2007-02-02,2007-01-01,152974.0,CLF16OV, Civilian Labor Force,2007-01-01
2594,2007-02-02,2007-01-01,4.6,UNRATE, Unemployment Rate,2007-01-01
2759,2007-02-02,2007-01-01,7017.0,UNEMPLOY, Unemployment Level,2007-01-01
3089,2007-02-02,2007-01-01,1133.0,UEMP27OV, Unemployed for 27 Weeks,2007-01-01
3254,2011-03-04,2007-01-01,8.4,U6Rate, Unemployed plus Marginally Attached ,2007-01-01
1772,2010-08-11,2007-01-01,4102.0,JTS1000JOL, Job Openings: Total Private,2007-01-01
3584,2011-05-06,2007-01-01,4244.0,LNS12032194, Part-Time for Econ Reasons,2007-01-01
3419,2007-02-02,2007-01-01,66.3,CIVPART, Civilian Participation Rate,2007-01-01
2100,2010-08-11,2007-01-01,4739.0,JTS1000TSL,  Total Separations: Total Private ,2007-01-01
1052,2009-09-10,2007-01-06,2451000.0,CCSA, Continued Claims ,2007-01-06
331,2009-05-28,2007-01-06,322000.0,ICSA, Initial Claims,2007-01-06
438,2009-05-28,2007-01-13,295000.0,ICSA, Initial Claims,2007-01-13
1182,2009-09-10,2007-01-13,2461000.0,CCSA, Continued Claims ,2007-01-13
441,2009-05-28,2007-01-20,337000.0,ICSA, Initial Claims,2007-01-20
1184,2009-09-10,2007-01-20,2483000.0,CCSA, Continued Claims ,2007-01-20
448,2009-05-28,2007-01-27,309000.0,ICSA, Initial Claims,2007-01-27
1187,2009-09-10,2007-01-27,2452000.0,CCSA, Continued Claims ,2007-01-27
2141,2010-08-11,2007-02-01,4819.0,JTS1000TSL,  Total Separations: Total Private ,2007-02-01
1,2007-03-09,2007-02-01,115242.0,USPRIV, BLS private,2007-02-01
2503,2013-06-03,2007-02-01,99.5023109925496,BSCICP03USM665S, OECD Business Confidence,2007-02-01
1976,2010-08-11,2007-02-01,4878.0,JTS1000HIL,  Hires: Total Private ,2007-02-01
3420,2007-03-09,2007-02-01,66.2,CIVPART, Civilian Participation Rate,2007-02-01
3090,2007-03-09,2007-02-01,1230.0,UEMP27OV, Unemployed for 27 Weeks,2007-02-01
2270,2013-06-03,2007-02-01,100.81263789201,CSCICP03USM665S, OECD US Consumer Confidence,2007-02-01
3630,2011-05-06,2007-02-01,4194.0,LNS12032194, Part-Time for Econ Reasons,2007-02-01
2925,2007-03-09,2007-02-01,152784.0,CLF16OV, Civilian Labor Force,2007-02-01
2760,2007-03-09,2007-02-01,6865.0,UNEMPLOY, Unemployment Level,2007-02-01
2595,2007-03-09,2007-02-01,4.5,UNRATE, Unemployment Rate,2007-02-01
1813,2010-08-11,2007-02-01,4069.0,JTS1000JOL, Job Openings: Total Private,2007-02-01
3297,2011-03-04,2007-02-01,8.1,U6Rate, Unemployed plus Marginally Attached ,2007-02-01
205,2011-02-02,2007-02-01,114461.0,NPPTTL, ADP,2007-02-01
398,2009-05-28,2007-02-03,307000.0,ICSA, Initial Claims,2007-02-03
1189,2009-09-10,2007-02-03,2486000.0,CCSA, Continued Claims ,2007-02-03
1188,2009-09-10,2007-02-10,2468000.0,CCSA, Continued Claims ,2007-02-10
407,2009-05-28,2007-02-10,332000.0,ICSA, Initial Claims,2007-02-10
415,2009-05-28,2007-02-17,323000.0,ICSA, Initial Claims,2007-02-17
1185,2009-09-10,2007-02-17,2552000.0,CCSA, Continued Claims ,2007-02-17
1183,2009-09-10,2007-02-24,2490000.0,CCSA, Continued Claims ,2007-02-24
427,2009-05-28,2007-02-24,319000.0,ICSA, Initial Claims,2007-02-24
2138,2010-08-11,2007-03-01,4916.0,JTS1000TSL,  Total Separations: Total Private ,2007-03-01
1977,2010-08-11,2007-03-01,5068.0,JTS1000HIL,  Hires: Total Private ,2007-03-01
2,2007-04-06,2007-03-01,115426.0,USPRIV, BLS private,2007-03-01
2596,2007-04-06,2007-03-01,4.4,UNRATE, Unemployment Rate,2007-03-01
1812,2010-08-11,2007-03-01,4332.0,JTS1000JOL, Job Openings: Total Private,2007-03-01
3421,2007-04-06,2007-03-01,66.2,CIVPART, Civilian Participation Rate,2007-03-01
3091,2007-04-06,2007-03-01,1223.0,UEMP27OV, Unemployed for 27 Weeks,2007-03-01
3295,2011-03-04,2007-03-01,8.0,U6Rate, Unemployed plus Marginally Attached ,2007-03-01
2761,2007-04-06,2007-03-01,6724.0,UNEMPLOY, Unemployment Level,2007-03-01
2926,2007-04-06,2007-03-01,152979.0,CLF16OV, Civilian Labor Force,2007-03-01
3634,2011-05-06,2007-03-01,4238.0,LNS12032194, Part-Time for Econ Reasons,2007-03-01
207,2011-02-02,2007-03-01,114628.0,NPPTTL, ADP,2007-03-01
2290,2013-06-03,2007-03-01,100.528298905898,CSCICP03USM665S, OECD US Consumer Confidence,2007-03-01
2465,2013-06-03,2007-03-01,99.6361061273691,BSCICP03USM665S, OECD Business Confidence,2007-03-01
422,2009-05-28,2007-03-03,321000.0,ICSA, Initial Claims,2007-03-03
1179,2009-09-10,2007-03-03,2529000.0,CCSA, Continued Claims ,2007-03-03
1169,2009-09-10,2007-03-10,2476000.0,CCSA, Continued Claims ,2007-03-10
416,2009-05-28,2007-03-10,308000.0,ICSA, Initial Claims,2007-03-10
1163,2009-09-10,2007-03-17,2484000.0,CCSA, Continued Claims ,2007-03-17
412,2009-05-28,2007-03-17,308000.0,ICSA, Initial Claims,2007-03-17
1164,2009-09-10,2007-03-24,2470000.0,CCSA, Continued Claims ,2007-03-24
405,2009-05-28,2007-03-24,303000.0,ICSA, Initial Claims,2007-03-24
1165,2009-09-10,2007-03-31,2485000.0,CCSA, Continued Claims ,2007-03-31
411,2009-05-28,2007-03-31,309000.0,ICSA, Initial Claims,2007-03-31
192,2011-02-02,2007-04-01,114686.0,NPPTTL, ADP,2007-04-01
2449,2013-06-03,2007-04-01,99.8263284529296,BSCICP03USM665S, OECD Business Confidence,2007-04-01
2597,2007-05-04,2007-04-01,4.5,UNRATE, Unemployment Rate,2007-04-01
