,keyword,score,level,parent,parent_score
32,can part time employees file for unemployment,70.2556,4,can part time file for unemployment,94.94
75,jobs indeed,70.7,1,jobs,101.0
58,jobs hiring near me indeed,70.7,3,indeed jobs near me,70.7
71,indeed jobs near me,70.7,2,jobs indeed,70.7
37,part time jobs hiring near me,70.7,4,jobs hiring near me indeed,70.7
51,how to file for unemployment,73.1038,3,file for unemployment,94.94
39,jobs hiring near me part time no experience,73.73,4,hiring jobs near me part time,101.0
48,tn.gov jobs unemployment,73.73,3,tn.gov jobs,73.73
63,tn.gov jobs,73.73,2,unemployment jobs,101.0
46,unemployment for part time workers,75.54799999999999,3,unemployment for part time,88.88
29,unemployment benefits for part time workers,75.54799999999999,4,unemployment for part time workers,75.54799999999999
40,part time jobs near me hiring now,76.76,4,hiring jobs near me part time,101.0
35,wi dwd unemployment,76.76,4,unemployment wi,101.0
64,unemployment rate,77.77,2,unemployment jobs,101.0
55,wisconsin unemployment login,78.78,3,unemployment login,101.0
19,jobs hiring near me now,81.4464,5,now hiring near me,84.84
45,can you get unemployment if you work part time,81.7696,3,unemployment part time work,81.7696
28,can you still get unemployment if you work part time,81.7696,4,can you get unemployment if you work part time,81.7696
61,unemployment part time work,81.7696,2,part time unemployment,88.88
12,hiring now near me,83.1432,6,jobs now hiring,84.84
25,places that are hiring,83.83,5,places hiring near me,101.0
22,jobs near me hiring,84.84,5,now hiring near me,84.84
21,jobs now hiring,84.84,5,now hiring near me,84.84
41,now hiring near me,84.84,4,hiring jobs near me part time,101.0
20,now hiring jobs near me,84.84,5,now hiring near me,84.84
26,places near me that are hiring,85.85,5,places hiring near me,101.0
49,texas unemployment benefits,86.86,3,texas unemployment,86.86
65,texas unemployment,86.86,2,unemployment jobs,101.0
73,part time unemployment,88.88,1,unemployment,101.0
18,careersource central florida,88.88,5,careersource florida,88.88
17,are part time employees eligible for unemployment benefits,88.88,5,are part time employees eligible for unemployment,88.88
50,careersource,88.88,3,florida unemployment,88.88
31,careersource florida,88.88,4,careersource,88.88
30,are part time employees eligible for unemployment,88.88,4,unemployment for part time employees,88.88
66,florida unemployment,88.88,2,unemployment jobs,101.0
62,unemployment for part time,88.88,2,part time unemployment,88.88
47,unemployment for part time employees,88.88,3,unemployment for part time,88.88
11,careersource north central florida,88.88,6,careersource central florida,88.88
1,jobs hiring now near me,89.23107600000002,7,jobs near me part time hiring,96.9903
42,jobs near me hiring now,90.9,4,hiring jobs near me part time,101.0
23,part time jobs hiring now near me,90.9,5,jobs near me hiring now,90.9
0,hiring part time jobs near me,92.17958112000002,8,jobs near me part time,96.02039700000002
7,hiring part time near me,93.11068800000001,7,jobs hiring part time,96.9903
8,hiring near me,94.080591,7,jobs hiring part time,96.9903
9,part time hiring near me,94.080591,7,jobs hiring part time,96.9903
33,can you file for unemployment if you work part time,94.94,4,can part time file for unemployment,94.94
67,file for unemployment,94.94,2,unemployment jobs,101.0
52,can part time file for unemployment,94.94,3,file for unemployment,94.94
2,part time jobs near me hiring,95.050494,7,hiring near me part time,96.9903
4,hiring jobs near me,96.02039700000002,7,hiring near me part time,96.9903
10,jobs near me part time,96.02039700000002,7,jobs hiring part time,96.9903
3,part time jobs,96.02039700000002,7,hiring near me part time,96.9903
38,job hiring near me,96.96,4,jobs near me hiring part time,96.96
59,jobs near me hiring part time,96.96,3,jobs hiring near me,101.0
5,part time jobs hiring,96.9903,7,hiring near me part time,96.9903
6,jobs hiring part time near me,96.9903,7,hiring near me part time,96.9903
13,jobs near me part time hiring,96.9903,6,part time jobs near me,97.97
15,jobs hiring part time,96.9903,6,part time jobs near me,97.97
14,hiring near me part time,96.9903,6,part time jobs near me,97.97
43,places hiring near me part time,97.97,4,hiring jobs near me part time,101.0
53,part time unemployment benefits,97.97,3,unemployment benefits,97.97
24,part time jobs near me,97.97,5,places hiring near me part time,97.97
16,jobs hiring near me part time,97.97,6,part time jobs near me,97.97
68,unemployment benefits,97.97,2,unemployment jobs,101.0
54,unemployment office near me,98.98,3,unemployment office,98.98
69,unemployment office,98.98,2,unemployment jobs,101.0
77,unemployment,101.0,0,root,101.0
34,dwd unemployment wi login,101.0,4,wi unemployment login,101.0
44,places hiring near me,101.0,4,hiring jobs near me part time,101.0
56,wi unemployment login,101.0,3,unemployment login,101.0
27,places hiring part time near me,101.0,5,places hiring near me,101.0
60,hiring jobs near me part time,101.0,3,jobs hiring near me,101.0
70,unemployment login,101.0,2,unemployment jobs,101.0
74,unemployment jobs,101.0,1,unemployment,101.0
76,jobs near me,101.0,1,jobs,101.0
72,jobs hiring near me,101.0,2,jobs near me,101.0
36,unemployment wisconsin,101.0,4,unemployment wi,101.0
57,unemployment wi,101.0,3,unemployment login,101.0
78,jobs,101.0,0,root,101.0
