Datetime,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Expected Index
2008-01-15,116,68,88,68.1
2008-02-15,112,54,83,62.4
2008-03-15,112,46,81,60.1
2008-04-15,100,40,71,53.3
2008-05-15,98,36,68,51.1
2008-06-15,96,38,59,49.2
2008-07-15,105,42,65,53.5
2008-08-15,105,52,72,57.9
2008-09-15,120,65,83,67.2
2008-10-15,106,49,71,57.0
2008-11-15,107,42,65,53.9
2008-12-15,109,39,66,54.0
2009-01-15,114,47,69,57.8
2009-02-15,103,31,66,50.5
2009-03-15,104,44,63,53.5
2009-04-15,116,54,81,63.1
2009-05-15,114,75,88,69.4
2009-06-15,121,69,86,69.2
2009-07-15,110,69,73,63.2
2009-08-15,111,69,80,65.0
2009-09-15,115,88,91,73.5
2009-10-15,117,81,76,68.6
2009-11-15,112,70,83,66.5
2009-12-15,116,79,81,68.9
2010-01-15,110,84,86,70.1
2010-02-15,109,80,84,68.4
2010-03-15,112,78,82,67.9
2010-04-15,108,80,77,66.5
2010-05-15,110,83,82,68.8
2010-06-15,116,79,84,69.8
2010-07-15,109,66,73,62.3
2010-08-15,107,69,75,62.9
2010-09-15,108,61,73,60.9
2010-10-15,110,67,70,61.9
2010-11-15,109,71,78,64.8
2010-12-15,112,79,78,67.5
2011-01-15,110,87,80,69.3
2011-02-15,114,85,87,71.6
2011-03-15,103,60,67,57.9
2011-04-15,102,74,69,61.6
2011-05-15,106,84,88,69.5
2011-06-15,108,74,77,64.7
2011-07-15,103,55,64,55.9
2011-08-15,99,40,48,47.6
2011-09-15,104,39,52,49.4
2011-10-15,102,45,58,51.7
2011-11-15,106,52,60,54.9
2011-12-15,108,70,75,63.6
2012-01-15,112,82,82,69.1
2012-02-15,109,82,90,70.3
2012-03-15,112,79,89,69.8
2012-04-15,110,87,92,72.3
2012-05-15,113,91,94,74.3
2012-06-15,110,79,81,67.8
2012-07-15,108,74,79,65.6
2012-08-15,108,73,78,65.1
2012-09-15,113,87,95,73.5
2012-10-15,118,96,103,79.0
2012-11-15,116,97,98,77.7
2012-12-15,102,74,77,63.8
2013-01-15,107,84,75,66.6
2013-02-15,110,87,84,70.2
2013-03-15,109,85,89,70.8
2013-04-15,105,86,80,67.8
2013-05-15,115,100,89,75.8
2013-06-15,115,104,93,77.8
2013-07-15,113,104,89,76.5
2013-08-15,118,95,82,73.7
2013-09-15,109,86,76,67.8
2013-10-15,107,67,74,62.5
2013-11-15,106,79,81,66.8
2013-12-15,108,94,86,72.1
2014-01-15,114,93,77,71.2
2014-02-15,116,93,82,72.7
2014-03-15,117,88,75,70.0
2014-04-15,117,101,81,74.7
2014-05-15,109,98,87,73.7
2014-06-15,111,97,86,73.5
2014-07-15,113,90,84,71.8
2014-08-15,118,88,80,71.3
2014-09-15,116,99,88,75.4
2014-10-15,124,105,90,79.6
2014-11-15,116,104,100,79.9
2014-12-15,123,116,108,86.4
2015-01-15,122,132,112,91.0
2015-02-15,126,118,109,88.0
2015-03-15,122,116,105,85.3
2015-04-15,124,124,109,88.8
2015-05-15,123,113,102,84.2
2015-06-15,125,125,104,87.8
2015-07-15,122,115,101,84.1
2015-08-15,124,111,100,83.4
2015-09-15,121,100,93,78.2
2015-10-15,127,101,101,82.1
2015-11-15,122,106,105,82.9
2015-12-15,124,103,105,82.7
2016-01-15,124,107,102,82.7
2016-02-15,128,97,104,81.9
2016-03-15,127,100,100,81.5
2016-04-15,121,95,95,77.6
2016-05-15,128,107,106,84.9
2016-06-15,125,104,102,82.4
2016-07-15,126,91,95,77.8
2016-08-15,119,97,99,78.7
2016-09-15,126,104,101,82.7
2016-10-15,127,91,90,76.8
2016-11-15,126,109,107,85.2
2016-12-15,131,119,110,89.5
2017-01-15,130,121,112,90.3
2017-02-15,123,112,112,86.5
2017-03-15,128,116,103,86.5
2017-04-15,131,113,106,87.0
2017-05-15,129,119,105,87.7
2017-06-15,132,110,95,83.8
2017-07-15,122,111,89,80.5
2017-08-15,134,119,100,87.7
2017-09-15,133,110,97,84.4
2017-10-15,132,123,110,90.5
2017-11-15,132,123,103,88.9
2017-12-15,127,119,93,84.3
2018-01-15,131,121,95,86.3
2018-02-15,133,124,105,90.0
2018-03-15,132,120,105,88.8
2018-04-15,131,113,111,88.4
2018-05-15,129,122,108,89.1
2018-06-15,128,117,102,86.3
2018-07-15,134,116,101,87.3
2018-08-15,131,118,101,87.1
2018-09-15,135,123,106,90.5
2018-10-15,131,123,105,89.3
2018-11-15,129,117,109,88.1
2018-12-15,129,118,102,87.0
2019-01-15,131,92,97,79.9
2019-02-15,133,108,99,84.4
2019-03-15,131,124,102,88.8
2019-04-15,136,115,100,87.4
2019-05-15,135,130,112,93.5
2019-06-15,134,121,104,89.3
2019-07-15,137,122,106,90.5
2019-08-15,123,104,93,79.9
2019-09-15,128,109,98,83.4
2019-10-15,134,108,96,84.2
2019-11-15,131,116,105,87.3
2019-12-15,131,120,106,88.9
2020-01-15,133,121,110,90.5
2020-02-15,133,127,111,92.1
2020-03-15,124,83,112,79.7
2020-04-15,126,58,96,70.1
2020-05-15,117,58,88,65.9
2020-06-15,132,67,90,72.3
2020-07-15,123,60,80,65.9
2020-08-15,127,65,81,68.5
2020-09-15,127,83,92,75.6
